name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
Generator_mvgd_40_lvgd_4488000002_solar_ground_mounted_232539,Bus_mvgd_40_lvgd_4488000002_gen_232539,PQ,0.003,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000002_solar_ground_mounted_232700,Bus_mvgd_40_lvgd_4488000002_gen_232700,PQ,0.003,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000002_solar_roof_mounted_232942,Bus_mvgd_40_lvgd_4488000002_gen_232942,PQ,0.007,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000002_solar_roof_mounted_232984,Bus_mvgd_40_lvgd_4488000002_gen_232984,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000002_solar_roof_mounted_233117,Bus_mvgd_40_lvgd_4488000002_gen_233117,PQ,0.009,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_ground_mounted_232618,Bus_mvgd_40_lvgd_4488000003_gen_232618,PQ,0.003,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_ground_mounted_232668,Bus_mvgd_40_lvgd_4488000003_gen_232668,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_ground_mounted_232774,Bus_mvgd_40_lvgd_4488000003_gen_232774,PQ,0.008,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_roof_mounted_232817,Bus_mvgd_40_lvgd_4488000003_gen_232817,PQ,0.018,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_roof_mounted_232818,BranchTee_mvgd_40_lvgd_4488000003_296,PQ,0.037,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_roof_mounted_232866,Bus_mvgd_40_lvgd_4488000003_gen_232866,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000003_solar_roof_mounted_233018,Bus_mvgd_40_lvgd_4488000003_gen_233018,PQ,0.009,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000004_solar_ground_mounted_232643,Bus_mvgd_40_lvgd_4488000004_gen_232643,PQ,0.022,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000004_solar_roof_mounted_233093,Bus_mvgd_40_lvgd_4488000004_gen_233093,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_ground_mounted_232572,Bus_mvgd_40_lvgd_4544000000_gen_232572,PQ,0.005,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_roof_mounted_232802,BranchTee_mvgd_40_lvgd_4544000000_17,PQ,0.073,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_roof_mounted_232828,Bus_mvgd_40_lvgd_4544000000_gen_232828,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_roof_mounted_232967,Bus_mvgd_40_lvgd_4544000000_gen_232967,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_roof_mounted_233009,BranchTee_mvgd_40_lvgd_4544000000_24,PQ,0.042,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000000_solar_roof_mounted_235141,BranchTee_mvgd_40_lvgd_4544000000_19,PQ,0.063,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000001_solar_roof_mounted_232928,Bus_mvgd_40_lvgd_4544000001_gen_232928,PQ,0.026,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000001_solar_roof_mounted_232963,Bus_mvgd_40_lvgd_4544000001_gen_232963,PQ,0.01,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4544000001_solar_roof_mounted_233189,Bus_mvgd_40_lvgd_4544000001_gen_233189,PQ,0.004,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_ground_mounted_232556,Bus_mvgd_40_lvgd_4545000000_gen_232556,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_ground_mounted_232771,BranchTee_mvgd_40_lvgd_4545000000_49,PQ,0.042,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_roof_mounted_233063,Bus_mvgd_40_lvgd_4545000000_gen_233063,PQ,0.023,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_roof_mounted_233140,Bus_mvgd_40_lvgd_4545000000_gen_233140,PQ,0.01,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_ground_mounted_235075,Bus_mvgd_40_lvgd_4545000000_gen_235075,PQ,0.01,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4545000000_solar_roof_mounted_235135,Bus_mvgd_40_lvgd_4545000000_gen_235135,PQ,0.012,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_hydro_232525,Bus_mvgd_40_lvgd_4546000000_gen_232525,PQ,0.008,run_of_river,,hydro,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_232555,Bus_mvgd_40_lvgd_4546000000_gen_232555,PQ,0.003,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_232628,Bus_mvgd_40_lvgd_4546000000_gen_232628,PQ,0.004,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_232642,BranchTee_mvgd_40_lvgd_4546000000_3,PQ,0.033,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_232687,Bus_mvgd_40_lvgd_4546000000_gen_232687,PQ,0.004,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_roof_mounted_232933,Bus_mvgd_40_lvgd_4546000000_gen_232933,PQ,0.005,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_roof_mounted_232998,Bus_mvgd_40_lvgd_4546000000_gen_232998,PQ,0.006,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_roof_mounted_233180,Bus_mvgd_40_lvgd_4546000000_gen_233180,PQ,0.005,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_roof_mounted_233184,Bus_mvgd_40_lvgd_4546000000_gen_233184,PQ,0.01,solar,1127074.0,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_235002,Bus_mvgd_40_lvgd_4546000000_gen_235002,PQ,0.006,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_235023,Bus_mvgd_40_lvgd_4546000000_gen_235023,PQ,0.003,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_ground_mounted_235052,Bus_mvgd_40_lvgd_4546000000_gen_235052,PQ,0.007,solar,1127074.0,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4546000000_solar_roof_mounted_235139,Bus_mvgd_40_lvgd_4546000000_gen_235139,PQ,0.01,solar,1127074.0,solar_roof_mounted,0,0,1,0
